iter	Passed	Remaining
0	1	195
1	3	153
2	4	129
3	4	112
4	5	103
5	6	97
6	7	93
7	7	90
8	8	90
9	9	88
10	10	84
11	11	82
12	11	79
13	12	77
14	13	75
15	13	73
16	14	71
17	15	69
18	15	67
19	17	71
20	18	70
21	19	69
22	20	67
23	20	65
24	21	64
25	22	63
26	22	61
27	23	60
28	24	59
29	24	58
30	25	57
31	26	57
32	27	56
33	28	55
34	29	54
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	47
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	39
51	42	39
52	43	38
53	45	38
54	46	37
55	47	36
56	47	36
57	49	35
58	50	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	54	29
65	55	28
66	56	27
67	57	26
68	57	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	68	15
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	85	0
